goos: darwin
goarch: arm64
pkg: github.com/eluv-io/common-go/format/structured
cpu: Apple M4 Max
BenchmarkCloneSlice_SliceInt-14             	46231564	        26.40 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	44117917	        26.97 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	44724523	        26.65 ns/op	     104 B/op	       2 allocs/op
BenchmarkClone_SliceString-14               	21683007	        55.47 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21676447	        56.59 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	20292278	        56.00 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21530472	        56.66 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21611253	        55.69 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21813438	        55.77 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21639328	        55.58 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	20635678	        57.16 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21563018	        56.04 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21642597	        55.39 ns/op	     152 B/op	       4 allocs/op
BenchmarkCloneSlice_SliceString-14          	36761373	        32.46 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37338393	        32.64 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37535091	        32.04 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	36922556	        32.13 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37707834	        32.74 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37149067	        32.27 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	36892852	        32.51 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37334328	        32.77 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37985250	        32.03 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37641843	        32.37 ns/op	     104 B/op	       2 allocs/op
BenchmarkClone_SliceByte-14                 	  628311	      2082 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  589053	      2093 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  581200	      2074 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  574771	      2127 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  593048	      2052 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  743793	      1710 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  745524	      1718 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  655014	      1727 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  757312	      1654 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_SliceByte-14                 	  732394	      1684 ns/op	   27336 B/op	       4 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  677518	      1836 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  672384	      1848 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  658221	      1811 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  637958	      1835 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  657745	      1853 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  652659	      1849 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  664342	      1821 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  664977	      1835 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  633616	      1941 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceByte-14            	  638577	      2135 ns/op	   27288 B/op	       2 allocs/op
BenchmarkClone_NamedSliceByte-14            	  513895	      2058 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_NamedSliceByte-14            	  635878	      2193 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_NamedSliceByte-14            	  599312	      1956 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_NamedSliceByte-14            	  604108	      2034 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_NamedSliceByte-14            	  607142	      1957 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_NamedSliceByte-14            	  621540	      1927 ns/op	   27336 B/op	       4 allocs/op
